number,x,y,z
1282,-160,640,0
1283,-160,660,0
1284,-160,680,0
1285,-160,700,0
1286,-160,720,0
1287,-160,740,0
1288,-160,760,0
1289,-160,780,0
1290,-160,800,0
1291,-160,820,0
1292,-160,840,0
1293,-160,860,0
1294,-160,880,0
1295,-160,900,0
1296,-160,920,0
1297,-160,940,0
1298,-160,960,0
1299,-160,980,0
1300,-140,-1000,0
1301,-140,-980,0
1302,-140,-960,0
1303,-140,-940,0
1304,-140,-920,0
1305,-140,-900,0
1306,-140,-880,0
1307,-140,-860,0
1308,-140,-840,0
1309,-140,-820,0
1310,-140,-800,0
1311,-140,-780,0
1312,-140,-760,0
1313,-140,-740,0
1314,-140,-720,0
1315,-140,-700,0
1316,-140,-680,0
1317,-140,-660,0
1318,-140,-640,0
1319,-140,-620,0
1320,-140,-600,0
1321,-140,-580,0
1322,-140,-560,0
1323,-140,-540,0
1324,-140,-520,0
1325,-140,-500,0
1326,-140,-480,0
1327,-140,-460,0
1328,-140,-440,0
1329,-140,-420,0
1330,-140,-400,0
1331,-140,-380,0
1332,-140,-360,0
1333,-140,-340,0
1334,-140,-320,0
1335,-140,-300,0
1336,-140,-280,0
1337,-140,-260,0
1338,-140,-240,0
1339,-140,-220,0
1340,-140,-200,0
1341,-140,-180,0
1342,-140,-160,0
1343,-140,-140,0
1344,-140,-120,0
1345,-140,-100,0
1346,-140,-80,0
1347,-140,-60,0
1348,-140,-40,0
1349,-140,-20,0
1350,-140,0,0
1351,-140,20,0
1352,-140,40,0
1353,-140,60,0
1354,-140,80,0
1355,-140,100,0
1356,-140,120,0
1357,-140,140,0
1358,-140,160,0
1359,-140,180,0
1360,-140,200,0
1361,-140,220,0
1362,-140,240,0
1363,-140,260,0
1364,-140,280,0
1365,-140,300,0
1366,-140,320,0
1367,-140,340,0
1368,-140,360,0
1369,-140,380,0
1370,-140,400,0
1371,-140,420,0
1372,-140,440,0
1373,-140,460,0
1374,-140,480,0
1375,-140,500,0
1376,-140,520,0
1377,-140,540,0
1378,-140,560,0
1379,-140,580,0
1380,-140,600,0
1381,-140,620,0
1382,-140,640,0
1383,-140,660,0
1384,-140,680,0
1385,-140,700,0
1386,-140,720,0
1387,-140,740,0
1388,-140,760,0
1389,-140,780,0
1390,-140,800,0
1391,-140,820,0
1392,-140,840,0
1393,-140,860,0
1394,-140,880,0
1395,-140,900,0
1396,-140,920,0
1397,-140,940,0
1398,-140,960,0
1399,-140,980,0
1400,-120,-1000,0
1401,-120,-980,0
1402,-120,-960,0
1403,-120,-940,0
1404,-120,-920,0
1405,-120,-900,0
1406,-120,-880,0
1407,-120,-860,0
1408,-120,-840,0
1409,-120,-820,0
1410,-120,-800,0
1411,-120,-780,0
1412,-120,-760,0
1413,-120,-740,0
1414,-120,-720,0
1415,-120,-700,0
1416,-120,-680,0
1417,-120,-660,0
1418,-120,-640,0
1419,-120,-620,0
1420,-120,-600,0
1421,-120,-580,0
